               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12673,            0.031925,            0.027368,          9.6693e-05,           0.0040486,          5.1082e-05,          7.7939e-06,             0.11982,            0.040893,            0.026825,           0.0032609,           0.0032609,            0.070652
                   1,             0.11733,            0.038409,            0.023066,           0.0018573,             0.03366,          0.00098405,          0.00024532,             0.11534,            0.039289,            0.026531,           0.0065616,           0.0065616,             0.04062
                   2,             0.11499,            0.040855,            0.021877,           0.0061397,            0.047879,           0.0035275,          0.00091507,             0.11544,            0.040587,            0.024163,           0.0098293,           0.0098293,            0.010554
                   3,             0.11318,            0.038915,            0.019805,            0.046183,            0.064133,            0.014584,           0.0028934,             0.11104,            0.042735,            0.026279,           0.0098515,           0.0098515,           0.0098515
                   4,             0.11028,            0.037533,            0.018462,             0.16741,            0.033005,             0.01136,           0.0024095,              0.1131,             0.03492,            0.020177,           0.0098515,           0.0098515,           0.0098515
                   5,              0.1089,            0.038981,            0.014903,             0.04959,            0.075526,            0.019837,           0.0038932,             0.10997,            0.040353,            0.042391,            0.009802,            0.009802,            0.009802
                   6,             0.10562,            0.035864,            0.015301,            0.064663,            0.090762,            0.022317,           0.0061408,             0.10852,            0.035418,            0.022094,           0.0097525,           0.0097525,           0.0097525
                   7,             0.10186,            0.039901,            0.012112,             0.15178,             0.14841,            0.056705,            0.013491,            0.098917,            0.041704,            0.014294,            0.009703,            0.009703,            0.009703
                   8,            0.099658,            0.039349,            0.010328,            0.074278,            0.051635,            0.020753,           0.0049035,              0.1132,            0.037617,            0.074982,           0.0096535,           0.0096535,           0.0096535
                   9,             0.10028,             0.03772,            0.010674,             0.12489,             0.16081,            0.065091,            0.015991,             0.09264,            0.041619,            0.021103,            0.009604,            0.009604,            0.009604
                  10,            0.095789,            0.035757,            0.011163,             0.13521,             0.19609,            0.077993,            0.019483,            0.093262,            0.039468,            0.018957,           0.0095545,           0.0095545,           0.0095545
                  11,            0.095399,            0.037462,            0.010895,             0.18344,             0.14482,            0.083792,            0.018904,            0.093335,            0.042226,            0.029709,            0.009505,            0.009505,            0.009505
                  12,            0.093594,            0.041299,            0.010018,             0.18441,             0.13561,            0.094833,            0.022476,            0.095644,            0.044552,             0.01667,           0.0094555,           0.0094555,           0.0094555
                  13,            0.093708,            0.039396,           0.0089938,             0.16572,             0.17383,            0.091909,            0.025852,            0.092535,            0.041645,            0.016219,            0.009406,            0.009406,            0.009406
                  14,            0.095764,            0.038899,            0.010043,             0.23418,             0.21907,             0.12563,            0.030356,            0.092317,            0.038391,            0.010951,           0.0093565,           0.0093565,           0.0093565
                  15,            0.092676,            0.038517,           0.0073777,             0.26192,             0.21102,             0.13479,            0.033827,            0.089766,            0.045217,            0.021654,            0.009307,            0.009307,            0.009307
                  16,            0.092487,             0.03822,           0.0065928,             0.24933,             0.21324,             0.13479,            0.036098,            0.091026,            0.042763,            0.023063,           0.0092575,           0.0092575,           0.0092575
                  17,            0.093137,            0.042904,           0.0071321,             0.25286,             0.23739,             0.13533,            0.036817,            0.090407,             0.03816,            0.016176,            0.009208,            0.009208,            0.009208
                  18,            0.092045,            0.036231,           0.0064602,             0.20881,             0.25172,             0.14126,            0.038437,            0.092352,            0.038115,            0.006284,           0.0091585,           0.0091585,           0.0091585
                  19,            0.091388,            0.040072,           0.0088545,             0.27994,             0.21726,             0.14455,            0.037128,            0.089799,            0.038215,             0.01861,            0.009109,            0.009109,            0.009109
                  20,            0.091736,            0.042073,           0.0082465,             0.31082,             0.25207,             0.18824,            0.053503,            0.087012,            0.038875,            0.013155,           0.0090595,           0.0090595,           0.0090595
